gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5867888241	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/248479258	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris		US		Utah	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.442938	-111.913397	4.0						2024-10-21T11:37:04	21	10	2024	4301148	4301148	HUMAN_OBSERVATION	iNaturalist	Observations	248479258		dinojoe41	2024-10-21T17:38:02	CC_BY_NC_4_0	dinojoe41	dinojoe41			2025-10-27T23:53:36.932Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5844458936	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/256709470	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris		US		Utah	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.544793	-109.745035							2024-10-17T09:27	17	10	2024	4301148	4301148	HUMAN_OBSERVATION	iNaturalist	Observations	256709470		Brian Johnson	2024-12-30T02:23:37	CC_BY_NC_4_0	Brian Johnson	Brian Johnson			2025-10-27T22:40:19.968Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5843937760	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/247245770	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris		US		Utah	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.113833	-112.549622	35.0						2024-10-13T09:55:03	13	10	2024	4301148	4301148	HUMAN_OBSERVATION	iNaturalist	Observations	247245770		Andrew	2024-10-14T02:39:44	CC_BY_NC_4_0	Andrew	Andrew			2025-10-28T00:40:54.677Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5283732675	c9769493-6cb5-4bf2-8ec7-259288b332ba	55d3100a-8739-40b0-a757-565789f0804f	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris	(Grote, 1873)	US		Colorado	PRESENT	1	d0c172d4-6e53-45bf-ac21-014ab0c24a8f	38.49982	-106.949559							2024-08-13	13	8	2024	4301148	4301148	PRESERVED_SPECIMEN	BP	BLM	BPAV 07224		A. Draper		CC_BY_NC_4_0	Rocky Mountain Butterfly Consortium DBA Butterfly Pavilion	M. Schonewise, A. Draper; M. Schonewise, A. Draper			2025-10-24T06:49:53.029Z		GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
5230770932	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/295013839	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris		US		Colorado	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	39.994095	-105.104661	4.0						2024-10-09T21:06:43	9	10	2024	4301148	4301148	HUMAN_OBSERVATION	iNaturalist	Observations	295013839		Christopher Newby	2025-07-04T02:40:28	CC_BY_NC_4_0	Christopher Newby	Christopher Newby			2025-10-28T00:51:14.030Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5206540449	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/246839644	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris		US		Texas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	30.706096	-104.10483	17.0						2024-09-28T00:17	28	9	2024	4301148	4301148	HUMAN_OBSERVATION	iNaturalist	Observations	246839644		jugbayjs	2024-10-11T22:16:38	CC_BY_NC_4_0	jugbayjs	jugbayjs			2025-10-27T23:44:53.435Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5206427387	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/207470601	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris		US		Texas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	30.466613	-101.804163	8.0						2024-04-14T06:47	14	4	2024	4301148	4301148	HUMAN_OBSERVATION	iNaturalist	Observations	207470601		Rich Kostecke	2024-04-15T21:37:14	CC_BY_NC_4_0	Rich Kostecke	Rich Kostecke			2025-10-28T00:32:07.614Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5206407401	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/207717152	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris		US		Texas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.728671	-97.103425	22.0						2024-04-17T01:12:18	17	4	2024	4301148	4301148	HUMAN_OBSERVATION	iNaturalist	Observations	207717152		ben_b41	2024-04-17T06:39:15	CC_BY_NC_4_0	ben_b41	ben_b41			2025-10-27T22:22:26.818Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5206351413	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/225000424	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris		US		Texas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.44675	-100.312127							2024-04-20T08:09	20	4	2024	4301148	4301148	HUMAN_OBSERVATION	iNaturalist	Observations	225000424		brandonbest	2024-06-25T00:21:15	CC_BY_NC_4_0	brandonbest	brandonbest			2025-10-28T00:35:50.829Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5206266396	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/208161320	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Euxoa	Euxoa auxiliaris		SPECIES	Euxoa auxiliaris Grote, 1873	Euxoa auxiliaris		US		Texas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	31.439983	-100.464596							2024-04-19T16:23:13	19	4	2024	4301148	4301148	HUMAN_OBSERVATION	iNaturalist	Observations	208161320		Christian Bell	2024-04-19T21:24:33	CC_BY_NC_4_0	Christian Bell	Christian Bell			2025-10-27T22:22:33.113Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
